ANO;>=5;>=6;>=7;>=8;>=9
1950; 91; 122; 11; 2; 0;
1951; 108; 138; 11; 0; 0;
1952; 156; 172; 5; 1; 1;
1953; 101; 138; 9; 0; 0;
1954; 107; 122; 6; 0; 0;
1955; 84; 125; 10; 0; 0;
1956; 122; 107; 8; 0; 0;
1957; 144; 167; 19; 2; 0;
1958; 218; 126; 7; 1; 0;
1959; 217; 110; 8; 0; 0;
1960; 129; 139; 10; 2; 1;
1961; 129; 110; 12; 0; 0;
1962; 103; 99; 10; 0; 0;
1963; 179; 125; 15; 2; 0;
1964; 145; 145; 11; 0; 1;
1965; 200; 123; 16; 2; 0;
1966; 122; 106; 8; 1; 0;
1967; 150; 97; 11; 0; 0;
1968; 153; 134; 21; 1; 0;
1969; 174; 139; 14; 0; 0;
1970; 189; 143; 16; 1; 0;
1971; 237; 132; 18; 2; 0;
1972; 246; 127; 15; 1; 0;
1973; 1333; 89; 9; 0; 0;
1974; 1318; 86; 11; 0; 0;
1975; 1444; 96; 13; 0; 0;
1976; 1665; 95; 13; 1; 0;
1977; 1693; 76; 9; 1; 0;
1978; 1536; 81; 12; 0; 0;
1979; 1374; 86; 8; 0; 0;
1980; 1312; 90; 6; 0; 0;
1981; 1177; 78; 10; 0; 0;
1982; 1415; 83; 7; 0; 0;
1983; 1663; 125; 14; 0; 0;
1984; 1542; 127; 14; 0; 0;
1985; 1644; 147; 13; 2; 0;
1986; 1625; 129; 10; 1; 0;
1987; 1399; 160; 13; 0; 0;
1988; 1472; 115; 11; 0; 0;
1989; 1422; 131; 7; 1; 0;
1990; 1611; 136; 18; 0; 0;
1991; 1446; 120; 17; 0; 0;
1992; 1496; 166; 13; 0; 0;
1993; 1416; 136; 12; 0; 0;
1994; 1534; 146; 11; 2; 0;
1995; 1300; 181; 18; 2; 0;
1996; 1209; 149; 14; 1; 0;
1997; 1098; 120; 16; 0; 0;
1998; 953; 109; 11; 1; 0;
1999; 1056; 118; 18; 0; 0;
2000; 1335; 145; 14; 1; 0;
2001; 1215; 121; 15; 1; 0;
2002; 1170; 126; 13; 0; 0;
2003; 1208; 141; 14; 1; 0;
2004; 1515; 141; 14; 1; 1;
2005; 1692; 140; 10; 1; 0;
2006; 1724; 142; 9; 2; 0;
2007; 2087; 178; 14; 4; 0;
2008; 1786; 167; 12; 0; 0;
2009; 1914; 144; 16; 1; 0;
2010; 2220; 151; 23; 1; 0;
2011; 2485; 187; 19; 0; 1;
2012; 1547; 117; 14; 2; 0;
2013; 1454; 123; 17; 2; 0;
2014; 1574; 143; 11; 1; 0;
2015; 1412; 127; 18; 1; 0;
2016; 1550; 130; 16; 0; 0;
2017; 1452; 104; 6; 1; 0;
2018; 1581; 108; 14; 1; 0;
